,error_ractions,error_info
0,[Co+]12(Cl)(Cl)([NH2]CCC[NH2]1)[NH2]CCC[NH2]2.[Cl-].N([H])([H])[H]>>[Co+3]12([NH3])([NH3])([NH2]CCC[NH2]1)[NH2]CCC[NH2]2.[Cl-],Ignored this reaction
1,[N+]([H])([H])([H])[H].[W]([O-])(=S)(=S)[S-].N(CC)(CC)C(=S)SSC(=S)N(CC)CC>>[W]123(=O)(S\C(=N(/CC)\CC)\S1)(S\C(=N(/CC)\CC)\S2)SS3,Ignored this reaction
2,N(B([H])[H])(C)C>>N1(C)(C)B([H])([H])[H]B1([H])[H],"element: bad valence on N having 4 drawn bonds, charge 0, and 0 radical electrons"
3,N(B([H])[H])(C)C.B12([H])B34([H])B([H])([H])([H])(B13([H])[H])B24([H])[H]>>N1(C)(C)B([H])([H])[H]B1([H])[H],"element: bad valence on N having 4 drawn bonds, charge 0, and 0 radical electrons"
4,[Zr](Cl)(Cl)(Cl)Cl>>O.O.[Zr].O.O.[Zr],Ignored this reaction
5,C(OC)COC.C(C)(C)(C)c1c[cH-]c(C(C)(C)C)c1.[Li+].[Zr](Cl)(Cl)(Cl)Cl>>[Zr]1234(Cl)(Cl)([CH]5=C16[C@](C)(C)C)([C@@H]57)([CH]8=C29[C@@](C)(C)C)([CH]8=C3%10[C@](C)(C)C)([CH]6=C47[C@](C)(C)C)[C@H]9%10,Ignored this reaction
6,P(=O)(F)(F)Cl.[Zr](Cl)(Cl)(Cl)Cl>>[P@@](=O)(F)(F)Cl.[Zr](Cl)(Cl)(Cl)Cl,Ignored this reaction
7,[P@@](=O)(F)(Cl)Cl.[Zr](Cl)(Cl)(Cl)Cl>>[P@@](=O)(F)(Cl)Cl.[Zr](Cl)(Cl)(Cl)Cl,Ignored this reaction
8,c1([Mg]Br)c(F)c(F)c(F)c(F)c1F.[Zr](Cl)(Cl)(Cl)Cl.c1([Mg]Br)c(F)c(F)c(F)c(F)c1F.c1([Mg]Br)c(F)c(F)c(F)c(F)c1F.c1([Mg]Br)c(F)c(F)c(F)c(F)c1F>>[Zr](c1c(F)c(F)c(F)c(F)c1F)(c2c(F)c(F)c(F)c(F)c2F)(c3c(F)c(F)c(F)c(F)c3F)c4c(F)c(F)c(F)c(F)c4F,Ignored this reaction
9,C1(C=CC=C1)([Si](C)(C)C)[Si](C)(C)C.[Zr](Cl)(Cl)(Cl)Cl>>[Zr+2]1234(Cl)(Cl)([CH]5=[CH]16)([CH]5=[CH]27)([CH]8=[CH]39)([CH]8=[CH]4%10)([C@@-]67[Si@@](C)(C)C)[C@@-]9%10[Si@](C)(C)C,SMILES loader: chirality not possible on atom #11
10,[Zr]1234(Cl)([C@@H](Sc5ccccc5)[Si@@](C)(C)C)([CH]6=[CH]17)([C@@H]68)([CH]7=[CH]28)([CH]9=[CH]3%10)([CH]9=[CH]4%11)[C@H]%10%11.c1(Br)ccc(C)cc1.[Mg]>>[Zr]1234(c5ccc(C)cc5)([C@@H](Sc6ccccc6)[Si@@](C)(C)C)([CH]7=[CH]18)([C@@H]79)([CH]8=[CH]29)([CH]%10=[CH]3%11)([CH]%10=[CH]4%12)[C@H]%11%12,Ignored this reaction
11,c1(ccccc1)C(C)(C)C=C=C.[Sn](I)(I)(CCCC)CCCC.[Sn]([H])([H])(CCCC)CCCC.c1(ccccc1)C(C)(C)C=C=C>>[Sn](I)(CCCC)(CCCC)\C(\C)=C\C(C)(C)c1ccccc1.[Sn](I)(CCCC)(CCCC)C(=C)C[C@@](C)(C)c1ccccc1,Ignored this reaction
12,C(=C=C)(OC)CCCCCCCC.[Sn](I)(I)(CCCC)CCCC.[Sn]([H])([H])(CCCC)CCCC.C(=C=C)(OC)CCCCCCCC>>[Sn](I)(CCCC)(CCCC)C(=C)C(OC)CCCCCCCC.[Sn](I)(CCCC)(CCCC)\C(\C)=C(\OC)/CCCCCCCC,Ignored this reaction
13,C(=C=C)C(C)(C)C.[Sn](I)(I)(CCCC)CCCC.[Sn]([H])([H])(CCCC)CCCC.C(=C=C)C(C)(C)C>>[Sn](I)(CCCC)(CCCC)\C(\C)=C\C(C)(C)C.[Sn](I)(CCCC)(CCCC)C(=C)C[C@](C)(C)C,Ignored this reaction
14,[Pt](Cl)(Cl)(N#CC)N#CC.N(C)(C)CCN(C)C>>[Pt]1(Cl)(Cl)[N@@](C)(C)CC[N@@]1(C)C,SMILES loader: chirality not possible on atom #3
15,n12c(CCCCC1)nnn2.[Sm]1234(I)(O5CCCC5)(C6(C)=C17C)([C@@]68C)(C7(C)=C28C)(C9(C)=C3%10C)(C9(C)=C4%11C)[C@]%10%11C>>[Sm]123456789(I)(N(=N%10)N1=C%11N%10CCCCC%11)(C(C)(C2(C)=C3%12C)=C4(C)[C@@]5%12C)C(C)(C6(C)=C7%13C)=C8(C)[C@@]9%13C,"element: bad valence on N having 4 drawn bonds, charge 0, and 0 radical electrons"
16,N1(C)(C)C[BH2]N(C)(C)C[BH]1I.O(C)C=O>>N1(C)(C)C[BH2]N(C)(C)C[BH]1OC=O,"element: bad valence on N having 4 drawn bonds, charge 0, and 0 radical electrons"
17,[Mo]12(I)(C#O)(C#O)(N#CC)(N#CC)[CH](=[CH2]1)C2.c1(ccccc1)C=NNC(N)=O>>[Mo]123(I)(C#O)(C#O)(O=C(N([H])[H])N([H])N1=C([H])c4ccccc4)[CH2]=[CH]2C3,"element: bad valence on N having 4 drawn bonds, charge 0, and 0 radical electrons"
18,[Mo]12(Br)(C#O)(C#O)(N#CC)(N#CC)[CH](=[CH2]1)C2.c1(ccccc1)C=NNC(N)=O>>[Mo]123(Br)(C#O)(C#O)(O=C(N([H])[H])N([H])N1=C([H])c4ccccc4)C[CH]2=[CH2]3,"element: bad valence on N having 4 drawn bonds, charge 0, and 0 radical electrons"
19,[C@](F)(F)(F)S[N-]S[C@@](F)(F)F.[Hg+2].C(F)(F)(F)SN(SC(F)(F)F)B(Cl)Cl>>C(F)(F)(F)SN(SC(F)(F)F)B(Cl)N(SC(F)(F)F)SC(F)(F)F,Ignored this reaction
20,[Cd](C)C.[Si](C)(C)(C)[Te]c1ccccc1>>c1([Te-])ccccc1.[Cd+2],Ignored this reaction
21,[Sn](C)(CCCC)(CCCC)CCCC.O.O.O.O.O.O.[Re].[Re].C(F)(F)(F)C(=O)OC(=O)C(F)(F)F>>[Re](C)(=O)(=O)=O.C(F)(F)(F)C(=O)O[Sn](C)(C)C,Ignored this reaction
22,[W]12(N#N)(N#N)([P](CC)(CC)CC[P]1(CC)CC)[P](CC)(CC)CC[P]2(CC)CC.[W]12(N#N)(N#N)([P](CC)(CC)CC[P]1(CC)CC)[P](CC)(CC)CC[P]2(CC)CC>>[Br-].[W+2]12([H])(Br)([N]N)([P](CC)(CC)CC[P]1(CC)CC)[P](CC)(CC)CC[P]2(CC)CC.[Br-].[W+]12(Br)([N]N)([P](CC)(CC)CC[P]1(CC)CC)[P](CC)(CC)CC[P]2(CC)CC,Ignored this reaction
23,c12c(ccc(CC(C)=C3)c13)C=C(C)C2.[Mo](=C=O)(=C=O)(=C=O)(=C=O)(=C=O)=C=O.IC>>[Mo]12(C)(C#O)(C#O)(C#O)(C3([H])=C14C)(C4([H])=C256)[C@@]35C=C[C@@]7([Mo]89(C)(C#O)(C#O)(C#O)(C7([H])=C8%10C)C%10%11[H])C69=%11,Ignored this reaction
24,[Sn-]([H])([H])[H].[Na+].IC>>[SnH3]C,Ignored this reaction
25,C([H])([H])(Cl)Cl.[Ru+2]12([C-]#[N+][C@@](C)(C)C)([NH2][C@@H]3CCCCC3)([P](c4ccccc4)(c5ccccc5)c6ccccc6)([CH]7=[CH]18)([CH-]79)[CH]8=[CH]29.[P+5]([F-])([F-])([F-])([F-])([F-])[F-].IC>>[Ru]12(I)(C#NC(C)(C)C)([P](c3ccccc3)(c4ccccc4)c5ccccc5)([C@H]67)([CH]6=[CH]18)[CH]7=[CH]28,Ignored this reaction
26,[Sb](C)(C)C.IC>>[Sb+](C)(C)(C)C.[I-],Ignored this reaction
27,[Re]12([H])(N#O)([P](c3ccccc3)(c4ccccc4)c5ccccc5)([C@@H]67)([CH]6=[CH]18)[CH]7=[CH]28.[Re]12([2H])(N#O)([P](c3ccccc3)(c4ccccc4)c5ccccc5)([C@@H]67)([CH]6=[CH]18)[CH]7=[CH]28.N(C)(C)CCN(C)C.IC>>[Re]12(C)(N#O)([P](c3ccccc3)(c4ccccc4)c5ccccc5)(C6([H])=C17[H])(C6([H])=C28[H])[C@]78[H].[Re]12(C)(N#O)([P](c3ccccc3)(c4ccccc4)c5ccccc5)([CH]6=[CH]17)([CH]6=[CH]28)[C@]78[2H],Ignored this reaction
28,[Co]([H])(C#O)(C#O)(C#O)C#O.IC>>[Co](C)(C#O)(C#O)(C#O)C#O,"element: bad valence on O having 3 drawn bonds, charge 0, and 0 radical electrons"
29,[Nb+3]1234([CH]5=[CH]16)([CH]5=[CH]27)([C@H]67)([CH]8=[CH]39)([C@@H]8%10)[CH]9=[CH]4%10.[Cl-].[S-][S-].IC>>[Nb]1234(Cl)(I)(I)([C@@H]56)([CH]5=[CH]17)([CH]6=[CH]27)([CH]8=[CH]39)([C@H]8%10)[CH]%10=[CH]49,Ignored this reaction
30,B(F)(F)(F)F.[H+].O(CC)CC.[Pt]1(n2nc(C)cc2C)(n3nc(C)cc3C)[P](c4ccccc4)(c5ccccc5)C[P]1(c6ccccc6)c7ccccc7>>[B@@-](F)(F)(F)F.[Pt+2]1(N2N([H])=C(C)C=C2C)(N3N([H])=C(C)C=C3C)[P](c4ccccc4)(c5ccccc5)C[P]1(c6ccccc6)c7ccccc7,Ignored this reaction
31,[Cr]123(C#O)(C#O)(C#O)([CH]4=[CH]15)([CH]5=[CH]26)[CH]4=C36N>>[Cr]123(C#O)(C#O)(C#O)([CH]4=[CH]15)([CH]6=[CH]24)[CH]6=C35N.Cl,"element: bad valence on C having 5 drawn bonds, charge 0, and 0 radical electrons"
32,[Sn](C#C)([C@@](C)(C)C)([C@](C)(C)C)[C@](C)(C)C.[Mg](Br)CC>>[Sn](C#CC(=O)O)([C@@](C)(C)C)([C@](C)(C)C)[C@](C)(C)C.[Sn](OC(=O)C#C[Sn]([C@@](C)(C)C)([C@](C)(C)C)[C@](C)(C)C)(C(C)(C)C)(C(C)(C)C)C(C)(C)C,Ignored this reaction
33,[Co+]1234(N5=CC=CC=C5)O([Co](OC(C)=O6)(OC(C)=O7)(OC(C)=O1)(OC(C)=O2)N8=CC=CC=C8)[Co]67(OC(C)=O3)(OC(C)=O4)N9=CC=CC=C9.[P-](F)(F)(F)(F)(F)F.C(O)C=C>>O1([Co](O=C(C)O2)(O=C(C)O3)(O=C(C)O4)(O=C(C)O5)N6=CC=CC=C6)[Co]23(O=C(C)O7)(N8=CC=CC=C8)O(CC=C)[Co+]1457N9=CC=CC=C9.[P-](F)(F)(F)(F)(F)F,Ignored this reaction
34,[Fe-]12(C#O)(C#O)(C3(C)=C14C)(C3(C)=C25C)[C@]45C.[K+].c1(cc(C(C)(C)C)cc(C(C)(C)C)c1P(Cl)Cl)C(C)(C)C>>[Fe]1234(C#O)([C@@]56C)(C5(C)=C17C)(C6(C)=C27C)[Fe]89(C#O)(C%10(C)=C8%11C)(C%10(C)=C9%12C)([C@@]%11%12C)(C3=O)C4=O.c1(P=Pc2c(cc([C@](C)(C)C)cc2[C@@](C)(C)C)[C@@](C)(C)C)c(cc([C@](C)(C)C)cc1[C@@](C)(C)C)[C@@](C)(C)C,Ignored this reaction
35,[Mn](C#O)(C#O)(C#O)(C#O)(C#O)[Mn](C#O)(C#O)(C#O)(C#O)C#O.c1(cc(C(C)(C)C)cc(C(C)(C)C)c1P(Cl)Cl)C(C)(C)C.[B-]([H])(C(C)CC)(C(C)CC)C(C)CC.[K+].c1(ccccc1)Pc2ccccc2>>[Mn]1(C#O)(C#O)(C#O)(C#O)P(c2c(cc(C(C)(C)C)cc2C(C)(C)C)C(C)(C)C)[P]1(c3ccccc3)c4ccccc4,Ignored this reaction
36,[Fe]12(C#O)(C#O)(C#O)(C3([H])=C1([H])C=C)C3([H])=C2([H])C(=O)OC.[H].[Na]>>[Fe]12(C#O)(C#O)(C#O)([CH]3=[CH2]1)C3([H])=C2([H])\C=C\OC(C)=O,Ignored this reaction
37,C(CC)C[O-].[Ti+4]>>C.[Ti],Ignored this reaction
38,[Ru+]12(Cl)(Cl)([N@@](C)(CC[N@]1(C)C)CC3)[N@@]3(C)CCN2(C)C.Cl([O-])(=O)(=O)=O.Cl([O])(=O)(=O)=O.[Na+]>>[Ru+2]12(=O)(=O)(N(C)(CCN1(C)C)CC3)[N@]3(C)CC[N@@]2(C)C.Cl([O-])(=O)(=O)=O,Ignored this reaction
39,[Rh]123(C([H])(CC4)=C1([H])CC5)(C4([H])=C25[H])[OH][Rh]67(C([H])(CC8)=C6([H])CC9)(C8([H])=C79[H])[OH]3.[Fe+]12(C#O)(C#O)(C#O)(C3(C)=C14C)(C3(C)=C25C)[C@@]45C.[P-](F)(F)(F)(F)(F)F>>[Fe]1234(C#O)([C@@]56C)(C5(C)=C17C)(C6(C)=C27C)[Fe]89(C#O)(C%10(C)=C8%11C)(C%10(C)=C9%12C)([C@@]%11%12C)(C3=O)C4=O.[Fe+]12(C#O)(C#O)(\C(=O\[Rh+]345([O-]\C(\[Fe+]67(C#O)(C#O)(C8(C)=C69C)([C@-]8%10C)C9(C)=C7%10C)=O/[Rh+]%11%12%13%14[CH](CC[CH]%11=[CH]%12%15)=[CH]%13CC%15)[CH](CC[CH]3=[CH]4%16)=[CH]5CC%16)\[O-]%14)([C@-]%17%18C)(C%17(C)=C1%19C)C%18(C)=C2%19C,Ignored this reaction
40,O([H])[H].N(=O)(=O)[O-].[Pb+2].N(CCC)(CCC)C([S-])=S.N(CCC)(CCC)C([S-])=S>>[Pb]12(SC(N(CCC)CCC)=[S]1)[S]=C(N(CCC)CCC)S2,Ignored this reaction
41,[B-]([H])(OCC)(OCC)OCC.[Na+].[B-]([H])(OCC)(OCC)OCC.[Na+]>>[B-]([H])([H])(OCC)OCC.[Na+].[B-](OCC)(OCC)(OCC)OCC.[Na+],Ignored this reaction
42,[B-]([H])(OCC)(OCC)OCC.[Na+].B(F)(F)F.O(CC)CC>>B([H])([H])[H]B([H])([H])[H],Ignored this reaction
