,error_ractions,error_info
0,OC.[C@@]12(C(C)=O)[C@@H](C[C@@]([H])([C@@]3([H])[C@@]([H])([C@]4(C)C(C[C@@H](O[Si](C)(C)C(C)(C)C)CC4)=CC3)CC5)[C@@]15C)O2.OC>>[C@@]12(C(CO)(OC)OC)[C@@]([H])(C[C@@]([H])([C@@]3([H])[C@@]([H])([C@]4(C)C(C[C@@H](O[Si](C)(C)C(C)(C)C)CC4)=CC3)CC5)[C@@]15C)O2,Ignored this reaction
1,C(CC=C)CCO.c12c(cccc1)cc(cccc3)c3c2CCl>>c12c(cccc1)cc(cccc3)c3c2COCCCCC=C,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
2,c1(F)ccccc1N.C(#N)S.N([H])([H])[H]>>c12c(cccc1F)sc(N)n2,Ignored this reaction
3,c12c(OCCOCCOCCOCCOCCO1)ccc(C(=O)O)c2.C(N)C#C>>c12c(OCCOCCOCCOCCOCCO1)ccc(C(=O)NCC#C)c2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
4,[C@@H](C(=O)O)(Cc1ccccc1)N(C)C(=O)CCCCCCCCC.Br.[C@@H]1(\C=C\C(=O)NCC\C=C\[C@H](N)C(=O)N1)C(C)C>>[C@H](Cc1ccccc1)(C(=O)N[C@H]2\C=C\CCNC(=O)\C=C\[C@H](C(C)C)NC2=O)N(C)C(=O)CCCCCCCCC,Ignored this reaction
5,c1(nn(CC(=O)O)cc1NC(=O)c2cnn(cccn3)c23)c4cc(Cl)ccc4OC(F)F.Br[H].N1(CCC)CCNCC1>>c1(nn(CC(=O)N2CCN(CCC)CC2)cc1NC(=O)c3cnn(cccn4)c34)c5cc(Cl)ccc5OC(F)F,Ignored this reaction
6,B(F)(F)(F)=O(CC)CC.c(c1cc(C=NCc2ccc(CN=Cc3cc4c(c(c(ccc5)cc4)c5cc6)c6c3O)cc2)c7O)(c78)c(c(ccc9)cc1)c9cc8>>c(c1cc(C=[N+](Cc2ccc(C[N+]3=Cc4c(c5c(c(c(ccc6)cc7)c6cc5)c7c4)O[B-]3(F)F)cc2)[B-](F)(F)O8)c89)(c(c(ccc%10)cc1)c%10cc%11)c9%11,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
7,B(F)(F)(F)=O(CC)CC.c(c1cc(C=NCc2cccc(CN=Cc3cc4c(c(c(ccc5)cc4)c5cc6)c6c3O)c2)c7O)(c78)c(c(ccc9)cc1)c9cc8>>c(c1cc(C=[N+](Cc2cccc(C[N+]3=Cc4c(c5c(c(c(ccc6)cc7)c6cc5)c7c4)O[B-]3(F)F)c2)[B-](F)(F)O8)c89)(c(c(ccc%10)cc1)c%10cc%11)c9%11,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
8,[C@H](C(=O)O)(NC(=O)CCCCCCCCC)Cc1cccnc1.Br.[C@@H]1(\C=C\C(=O)NCC\C=C\[C@H](N)C(=O)N1)C(C)C>>[C@H](NC(=O)CCCCCCCCC)(Cc1cccnc1)C(=O)N[C@H]2\C=C\CCNC(=O)\C=C\[C@H](C(C)C)NC2=O,Ignored this reaction
9,[C@H](CC(=O)O)(NC(=O)CCCCCCCCC)Cc1ccccc1.Br.[C@@H]1(\C=C\C(=O)NCC\C=C\[C@H](N)C(=O)N1)C(C)C>>[C@@H]1(\C=C\CCNC(=O)\C=C\[C@H](C(C)C)NC1=O)NC(=O)C[C@@H](NC(=O)CCCCCCCCC)Cc2ccccc2,Ignored this reaction
10,c1(nc(Br)sc1NC(=O)c2cnn(cccn3)c23)c4cc(Cl)ccc4O.C(F)(F)(Cl)C([O-])=O.[Na+]>>c1(nc(Br)sc1NC(=O)c2cnn(cccn3)c23)c4cc(Cl)ccc4OC(F)F,Ignored this reaction
11,[C@H](C(=O)O)(NC(=O)CCCCCCCCC)CC1CCCCC1.Br.[C@@H]1(\C=C\C(=O)NCC\C=C\[C@H](N)C(=O)N1)C(C)C>>[C@H](NC(=O)CCCCCCCCC)(CC1CCCCC1)C(=O)N[C@H]2\C=C\CCNC(=O)\C=C\[C@H](C(C)C)NC2=O,Ignored this reaction
12,c1(ccccc1Cl)C[C@@H](C(=O)O)NC(=O)CCCCCCCCC.Br.[C@@H]1(\C=C\C(=O)NCC\C=C\[C@H](N)C(=O)N1)C(C)C>>[C@H](NC(=O)CCCCCCCCC)(Cc1ccccc1Cl)C(=O)N[C@H]2\C=C\CCNC(=O)\C=C\[C@H](C(C)C)NC2=O,Ignored this reaction
13,c1(OC(C)(C)C)ccc(C[C@@H](C(=O)O)NC(=O)CCCCCCCCC)cc1.Br.[C@@H]1(\C=C\C(=O)NCC\C=C\[C@H](N)C(=O)N1)C(C)C>>[C@H](NC(=O)CCCCCCCCC)(Cc1ccc(OCCCC)cc1)C(=O)N[C@H]2\C=C\CCNC(=O)\C=C\[C@H](C(C)C)NC2=O,Ignored this reaction
14,[C@H](C(=O)O)(NC(=O)CCCCCCCCC)Cc1ccncc1.Br.[C@@H]1(\C=C\C(=O)NCC\C=C\[C@H](N)C(=O)N1)C(C)C>>[C@H](NC(=O)CCCCCCCCC)(Cc1ccncc1)C(=O)N[C@H]2\C=C\CCNC(=O)\C=C\[C@H](C(C)C)NC2=O,Ignored this reaction
15,[C@H](C(=O)O)(NC(=O)CCCCCCCCCC)Cc1ccccc1.Br.[C@@H]1(\C=C\C(=O)NCC\C=C\[C@H](N)C(=O)N1)C(C)C>>[C@H](NC(=O)CCCCCCCCCC)(Cc1ccccc1)C(=O)N[C@H]2\C=C\CCNC(=O)\C=C\[C@H](C(C)C)NC2=O,Ignored this reaction
16,[C@H](C(=O)O)(NC(=O)CCCCCCCCC)CCc1ccccc1.Br.[C@@H]1(\C=C\C(=O)NCC\C=C\[C@H](N)C(=O)N1)C(C)C>>[C@@H]1(\C=C\CCNC(=O)\C=C\[C@H](C(C)C)NC1=O)NC(=O)[C@H](CCc2ccccc2)NC(=O)CCCCCCCCC,Ignored this reaction
17,c1(ccccc1F)C[C@@H](C(=O)O)NC(=O)CCCCCCCCC.Br.[C@@H]1(\C=C\C(=O)NCC\C=C\[C@H](N)C(=O)N1)C(C)C>>[C@H](NC(=O)CCCCCCCCC)(Cc1ccccc1F)C(=O)N[C@H]2\C=C\CCNC(=O)\C=C\[C@H](C(C)C)NC2=O,Ignored this reaction
