,error_ractions,error_info
0,c1(C(=O)O)c(C=O)cccc1OC.c1(C(=O)O)c(C=O)cccc1OC>>c1(cccc(O)c1C(=O)O)C=Cc2ccc(cccc3)c3c2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
1,c1(C(=O)O)c(C=O)cccc1OC.c1(C(=O)O)c(C=O)cccc1OC>>c1(cccc(O)c1C(=O)O)CCc2ccc(cccc3)c3c2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
2,C(/CBr)=C(\C)/C>>c12c(OC(C)(C)[C@@]([H])(CSc(nc(c(C)ccc3)c3c4)c45)[C@]15[H])n(c6ccccc6)nc2C,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
3,C(/CBr)=C(\C)/C>>c12c(OC(C)(C)[C@@]([H])(CSc(nc(c(C)ccc3)c3c4)c45)[C@]15[H])n(c6ccc(C)cc6)nc2C,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
4,C(/CBr)=C(\C)/C>>[C@@]12([H])[C@@]([H])(CSc(nc(c(C)ccc3)c3c4)c14)C(C)(C)Oc(n(c5ccccc5Cl)nc6C)c26,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
5,C(/CBr)=C(\C)/C>>[C@@]12([H])[C@@]([H])(CSc(nc(c(C)ccc3)c3c4)c14)C(C)(C)Oc(n(c5cccc(Cl)c5)nc6C)c26,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
6,C(/CBr)=C(\C)/C>>c12c(OC(C)(C)[C@]([H])(COc(ccc(C(C)=CC(=O)O3)c34)c45)[C@@]15[H])n(c6ccccc6)nc2C,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
7,C(/CBr)=C(\C)/C>>[C@@]12([H])[C@@]([H])(COc(ccc(C(C)=CC(=O)O3)c34)c14)C(C)(C)Oc(n(c5ccc(C)cc5)nc6C)c26,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
8,C(/CBr)=C(\C)/C>>[C@@]12([H])[C@@]([H])(COc(ccc(C(C)=CC(=O)O3)c34)c14)C(C)(C)Oc(n(c5ccccc5Cl)nc6C)c26,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
9,C(/CBr)=C(\C)/C>>[C@@]12([H])[C@@]([H])(COc(ccc(C(C)=CC(=O)O3)c34)c14)C(C)(C)Oc(n(c5cccc(Cl)c5)nc6C)c26,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
