,error_ractions,error_info
0,c1(nccc(C)c1)c2nccc(C)c2.S(=O)(=O)([O-])[C@](F)(F)F.[Cr+3]12([O-]S(=O)(=O)[C@](F)(F)F)([O-]S(=O)(=O)[C@](F)(F)F)(N(=C3)c(c(C=C3)cc4)c(c4C=C5)N1=C5)N(=C6)c(c(C=C6)cc7)c(c7C=C8)N2=C8>>S(=O)(=O)([O-])[C@@](F)(F)F.[Cr+3]123(N4=C(C=C(C)C=C4)C(C=C(C)C=C5)=N15)(N6=C(C(=CC=C6)C=C7)C(C7=CC=C8)=N28)N9=C(C(=CC=C9)C=C%10)C(C%10=CC=C%11)=N3%11,Ignored this reaction
1,c1(C=O)ccc(Br)cc1.c12c(cccc1)C(=O)C(=O)c(cccc3)c23.c1(C#N)ccc(N)cc1>>c12c(nc(c3ccc(c4ccc5c(c(c(ccc6)cc5)c6cc7)c47)cc3)n1c8ccc(C#N)cc8)c9c(cccc9)c(cccc%10)c2%10,Ignored this reaction
2,c1([S-])nnc(N)s1.[OH-].O.[Ni+2]>>[Ni].O,Ignored this reaction
3,c1([S-])nnc(N)s1.[OH-].O.[Ni+2]>>[Ni].O,Ignored this reaction
4,c1([S-])nnc(N)s1.[OH-].O.[Ni+2]>>[Ni].O,Ignored this reaction
5,c1(ccccc1)C=NCC=C>>c1(ccccc1)CN=Cc2ccccc2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
6,c1(cccc(Cl)c1N)C(=O)O.c12c(c(Cl)ccc1)cc(c(Cl)ccc3)c3c2[Si](C)(C)C>>C12([Si](C)(C)C)c3c(cccc3Cl)C(c(c(Cl)ccc4)c14)c(c(Cl)ccc5)c25.C12([Si](C)(C)C)c3c(c(Cl)ccc3)C(c(c(Cl)ccc4)c14)c(c(Cl)ccc5)c25,Ignored this reaction
7,c1(cccc(Cl)c1N)C(=O)O.c12c(c(Cl)ccc1)C=C(C(Cl)=CC=C3)C3=[C-]2[Ge+4]([CH3-])([CH3-])[CH3-]>>[C@]12([Ge+3]([CH3-])([CH3-])[CH3-])c3c(cccc3Cl)[C@H](c(c(Cl)ccc4)c14)c(c(Cl)ccc5)c25.[C@]12([Ge+3]([CH3-])([CH3-])[CH3-])c3c(c(Cl)ccc3)[C@H](c(c(Cl)ccc4)c14)c(c(Cl)ccc5)c25,Ignored this reaction
8,[F-].[H+].N.[O-2].[Ta+5]>>O.O.O.O.O.[Ta].[Ta],Ignored this reaction
9,c12c(ncn1C)N(C)C(=O)N(CCCCC(C)=O)C2=O.[C@@]12([H])O[C@@]3([H])O[C@H](CO)[C@@]([H])(O[C@@]4([H])O[C@H](CO)[C@@]([H])(O[C@@]5([H])O[C@H](CO)[C@@]([H])(O[C@@]([H])(O[C@H](CO)[C@@]6([H])O[C@@]([H])(O[C@H](CO)[C@@]7([H])O[C@@]([H])(O[C@H](CO)[C@@]8([H])O[C@@]([H])(O[C@@H]1CO)[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O.[C@@]12([H])O[C@@]3([H])O[C@H](CO)[C@@]([H])(O[C@@]4([H])O[C@H](CO)[C@@]([H])(O[C@@]5([H])O[C@H](CO)[C@@]([H])(O[C@@]([H])(O[C@H](CO)[C@@]6([H])O[C@@]([H])(O[C@H](CO)[C@@]7([H])O[C@@]([H])(O[C@H](CO)[C@@]8([H])O[C@@]([H])(O[C@@H]1CO)[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O>>c12c(ncn1C)N(C)C(=O)N(CCCCC(C)=O)C2=O.[C@@]34([H])O[C@@]5([H])O[C@H](CO)[C@@]([H])(O[C@@]6([H])O[C@H](CO)[C@@]([H])(O[C@@]7([H])O[C@H](CO)[C@@]([H])(O[C@@]([H])(O[C@H](CO)[C@@]8([H])O[C@@]([H])(O[C@H](CO)[C@@]9([H])O[C@@]([H])(O[C@H](CO)[C@@]%10([H])O[C@@]([H])(O[C@@H]3CO)[C@H](O)[C@H]4O)[C@H](O)[C@H]%10O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O,Ignored this reaction
