,error_ractions,error_info
0,c1(Cl)ccccc1O.c1(Cl)ccccc1O.c1(Cl)ccccc1O>>C1(Cc2ccc(OC(C)=O)c(Cl)c2)=Cc3c(cccc3)OC1=O,Ignored this reaction
1,c1(C(=O)O)ccc(OCCC)cc1.c1(C(=O)O)ccc(OCCC)cc1>>c1(ccc(OCCC)cc1)C(=O)Oc2ccc(OCc3ccccc3)cc2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
2,[C@@]([H])(O)(CO)COCC=C.[C@@]([H])(O)(CO)COCC=C>>c1(ccccc1)CO[C@]([H])(CO)CO\C=C/C,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
3,c1(ccccc1)C(=N#N)C(=O)OC>>c1(cc(CCCC)oc1OC)c2ccccc2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
4,c1(ccc(C(=N)N)cc1)N(=O)=O.Cl[H].c1(ccc(C(=N)N)cc1)N(=O)=O.Cl[H]>>c1(oc(cccc2)c2c1CC(=O)OC)c3ccc(N(=O)=O)cc3,Ignored this reaction
5,c1(ccc(C(=N)N)cc1)N(=O)=O.Cl[H].c1(ccc(C(=N)N)cc1)N(=O)=O.Cl[H]>>[C@]12(c3ccc(N(=O)=O)cc3)[C@]([H])(c4c(cccc4)O1)[C@H]2C(=O)OC,Ignored this reaction
6,[C@@]1(C)(CCC(=O)O)C(=O)CC[C@@H]1OC(=O)c2ccccc2>>[C@@]12(C(=O)OC)[C@@]([H])(C[C@@H](C(=C)C)CC1=O)CC(=O)[C@]([H])([C@]3(O)[C@@](C)([C@@H](OC(=O)c4ccccc4)CC3)CC5)[C@@]25[H],"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
7,c12[n+](CCc(cc(OCO3)c3c4)c14)cc(cc(OC)c(OC)c5)c5c2.[I-]>>S([O-])(=O)(=O)OC.C1(=Cc2c(cc(OC)c(OC)c2)C3)[N+]3(C)CCc(cc(OCO4)c4c5)c15,Ignored this reaction
8,[C@]12([C@@H]3N(C(=O)[C@@H](N)CC(C)C)S(=O)(=O)C1)C(C)(C)[C@]([H])(CC2)C3>>C1(COC(=O)N[C@@H](CC(C)C)C(=O)OCC=C)c2c(cccc2)c(cccc3)c13,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
9,[C@]12(C(C)(C)[C@]([H])(CC1)C3)[C@@H]3N(C(=O)[C@@H](N)CC=C)S(=O)(=O)C2>>C1(COC(=O)N[C@@H](CC=C)C(=O)OCC=C)c2c(cccc2)c(cccc3)c13,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
10,[C@]12(C(C)(C)[C@]([H])(CC1)C3)[C@@H]3N(C(=O)[C@H](CC=C)\N=C(\SC)/SC)S(=O)(=O)C2>>C1(COC(=O)N[C@@H](CC=C)C(=O)OCC=C)c2c(cccc2)c(cccc3)c13,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
11,[C@]12(C(C)(C)[C@]([H])(CC1)C3)[C@@H]3N(C(=O)[C@H](CC(C)C)\N=C(\SC)/SC)S(=O)(=O)C2>>C1(COC(=O)N[C@@H](CC(C)C)C(=O)OCC=C)c2c(cccc2)c(cccc3)c13,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
12,c12[n+](CCc(cc(OCc3ccccc3)c(OC)c4)c14)cc(cc(OC)c(OC)c5)c5c2.[I-]>>S([O-])(=O)(=O)OC.C1(=Cc2c(cc(OC)c(OC)c2)C3)[N+]3(C)CCc(cc(OCc4ccccc4)c(OC)c5)c15,Ignored this reaction
13,c1(N=C=S)ccccc1.c1(N=C=S)ccccc1>>n1(nc([N-]c2ccccc2)[n+](cccc3)c13)c4ccccc4,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
14,C(\C=C\CI)CCCC>>C1(COC(=O)N[C@@H](C\C=C\CCCCC)C(=O)OCC=C)c2c(cccc2)c(cccc3)c13,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
15,C(\C=C\CI)CCCC>>[C@]12(C(C)(C)[C@H](CC1)C3)[C@]3([H])N(C(=O)[C@H](C\C=C\CCCCC)NC(=O)OCC4c5c(cccc5)c(cccc6)c46)S(=O)(=O)C2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
16,[C@]12(C(C)(C)[C@H](CC1)C3)[C@]3([H])N(C(=O)[C@@H](N)CC#C)S(=O)(=O)C2>>C1(COC(=O)N[C@@H](CC#C)C(=O)OCC=C)c2c(cccc2)c(cccc3)c13,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
17,[C@]12(C(C)(C)[C@H](CC1)C3)[C@]3([H])N(C(=O)[C@@H](N)C\C=C\CCCCC)S(=O)(=O)C2>>C1(COC(=O)N[C@@H](C\C=C\CCCCC)C(=O)OCC=C)c2c(cccc2)c(cccc3)c13,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
18,[C@]12(C(C)(C)[C@H](CC1)C3)[C@]3([H])N(C(=O)[C@H](CC#C)\N=C(\SC)/SC)S(=O)(=O)C2>>C1(COC(=O)N[C@@H](CC#C)C(=O)OCC=C)c2c(cccc2)c(cccc3)c13,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
19,c12c(cc(C(C)(C)C)cc1C(C)(C)C)c3c(c(cc(C(C)(C)C)c3)C(C)(C)C)op(Cl)o2>>c12c(cc(C(C)(C)C)cc1C(C)(C)C)c3c(c(cc(C(C)(C)C)c3)C(C)(C)C)op(Oc4c(cc(C(C)(C)C)cc4C(C)c5cc(C(C)(C)C)cc(C(C)(C)C)c5OP(Cl)Cl)C(C)(C)C)o2,"element: can not calculate valence of P (1 aromatic bonds, min connectivity 2, charge 0)"
20,[C@]12(C(C)(C)[C@H](CC1)C3)[C@]3([H])N(C(=O)[C@H](C\C=C\CCCCC)\N=C(\SC)/SC)S(=O)(=O)C2>>C1(COC(=O)N[C@@H](C\C=C\CCCCC)C(=O)OCC=C)c2c(cccc2)c(cccc3)c13,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
21,[Br-].[n+]1(CCCC)cc(C)cc(C)c1>>c12c(ccc1C)cc(C)cc(C)c2,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
22,[Br-].[n+]1(CCCC)cc(C)cc(C)c1>>c12c(cc(C)cc(C)c1)c(C)cc2C,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
