,error_ractions,error_info
0,C1(C)(C)O[C@H](CCl)C[C@H](CC(=O)OC)O1.C(C)([O-])=O.[K+]>>O1[C@@H](CC(=O)OC)C[C@@H](COC(C)=O)OC1(C)C,Ignored this reaction
1,c12c(cc(Cl)cc1)cc(C)[nH]2.C(#N)S.N([H])([H])[H]>>c12c(ccc(Cl)c1)[nH]c(C)c2SC#N,Ignored this reaction
2,C(=C/N(C)C)(/C(=O)c1cccs1)\S(=O)(=O)c2ccccc2.c1(n[nH]c(N)c1C)c2ccccc2>>c1(c2cccs2)c(cnc(c(C)c(c3ccccc3)n4)n14)S(=O)(=O)c5ccccc5,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
3,C(=C/N(C)C)(/C(=O)c1cccs1)\S(=O)(=O)c2ccccc2.c1(N)nnc[nH]1>>c1(c2cccs2)n3c(nnc3)ncc1S(=O)(=O)c4ccccc4,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
4,C(=C/N(C)C)(/C(=O)c1cccs1)\S(=O)(=O)c2ccccc2.c1(ccc(Cl)cc1)c2n[nH]c(N)c2>>c1(c2cccs2)n3c(cc(c4ccc(Cl)cc4)n3)ncc1S(=O)(=O)c5ccccc5,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
5,C(=C/N(C)C)(/C(=O)c1cccs1)\S(=O)(=O)c2ccccc2.c1(N)[nH]nc(C)c1>>c1(cnc(cc(C)n2)n2c1c3cccs3)S(=O)(=O)c4ccccc4,"element: can not calculate implicit hydrogens on aromatic C, charge 0, degree 1, 0 radical electrons"
6,c1(C=O)ccc(F)cc1.[Br-].[P+](Cc1ccc(C(=O)OC)cc1)(c2ccccc2)(c3ccccc3)c4ccccc4>>c1(ccc(\C=C\c2ccc(F)cc2)cc1)C(=O)OC,Ignored this reaction
7,c12c(cc(F)cc1)cc(C)[nH]2.C(#N)S.N([H])([H])[H]>>c12c(ccc(F)c1)[nH]c(C)c2SC#N,Ignored this reaction
8,P1(=O)(Cl)N(Cc2cccc(cccc3)c23)[C@]([H])(CCCC4)[C@]4([H])N1Cc5cccc(cccc6)c56.C(=O)(CN)OC.Cl[H]>>P1(=O)(NCC(=O)OC)N(Cc2cccc(cccc3)c23)[C@]([H])(CCCC4)[C@]4([H])N1Cc5cccc(cccc6)c56,Ignored this reaction
9,P1(=O)(Cl)N(CCN1C(C)C)C(C)C.C(=O)(CN)OC.Cl[H]>>P1(=O)(NCC(=O)OC)N(C(C)C)CCN1C(C)C,Ignored this reaction
10,P1(=O)(Cl)N(CCN1Cc2cccc(cccc3)c23)Cc4cccc(cccc5)c45.C(=O)(CN)OC.Cl[H]>>P1(=O)(NCC(=O)OC)N(CCN1Cc2cccc(cccc3)c23)Cc4cccc(cccc5)c45,Ignored this reaction
11,P1(=O)(Cl)N(CCN1Cc2cccc(cccc3)c23)Cc4cccc(cccc5)c45.C(=O)(OCc1ccccc1)[C@@]([H])(N)C(C)C.Cl[H]>>P1(=O)(N[C@@H](C(C)C)C(=O)OCc2ccccc2)N(CCN1Cc3cccc(cccc4)c34)Cc5cccc(cccc6)c56,Ignored this reaction
12,P1(=O)(Cl)N(CCN1Cc2cccc(cccc3)c23)Cc4cccc(cccc5)c45.c1(ccccc1)COC(=O)CN.Cl[H]>>P1(=O)(NCC(=O)OCc2ccccc2)N(CCN1Cc3cccc(cccc4)c34)Cc5cccc(cccc6)c56,Ignored this reaction
13,P1(=O)(Cl)N(CCN1Cc2cccc(cccc3)c23)Cc4cccc(cccc5)c45.c1(ccccc1)C[C@H](N)C(=O)OC.Cl[H]>>P1(=O)(N[C@H](C(=O)OC)Cc2ccccc2)N(CCN1Cc3cccc(cccc4)c34)Cc5cccc(cccc6)c56,Ignored this reaction
14,P1(=O)(Cl)N(CCN1Cc2cccc(cccc3)c23)Cc4cccc(cccc5)c45.[C@@]1([H])(CCCN1)C(=O)OCc2ccccc2.Cl[H]>>P1(=O)(N(CCN1Cc2cccc(cccc3)c23)Cc4cccc(cccc5)c45)N6CCC[C@H]6C(=O)OCc7ccccc7,Ignored this reaction
15,P1(=O)(Cl)N(CCN1Cc2cccc(cccc3)c23)Cc4cccc(cccc5)c45.c1(ccccc1)COC(=O)[C@@]([H])(C)N.Cl[H]>>P1(=O)(N[C@H](C)C(=O)OCc2ccccc2)N(CCN1Cc3cccc(cccc4)c34)Cc5cccc(cccc6)c56,Ignored this reaction
16,P1(=O)(Cl)N(CCN1Cc2cccc(cccc3)c23)Cc4cccc(cccc5)c45.c1(ccc(O)cc1)C[C@]([H])(N)C(=O)OCc2ccccc2.Cl[H]>>P1(=O)(N[C@@H](Cc2ccc(O)cc2)C(=O)OCc3ccccc3)N(CCN1Cc4cccc(cccc5)c45)Cc6cccc(cccc7)c67,Ignored this reaction
17,P1(=O)(Cl)N(CCN1Cc2cccc(cccc3)c23)Cc4cccc(cccc5)c45.[C@]([H])(N)(CC(C)C)C(=O)OCc1ccccc1.Cl[H]>>P1(=O)(N[C@@H](CC(C)C)C(=O)OCc2ccccc2)N(CCN1Cc3cccc(cccc4)c34)Cc5cccc(cccc6)c56,Ignored this reaction
18,O([H])[H].[N+]([O-])(=O)[O-].[Zn+2].c1(C(=O)O)cc(C)cc(C(=O)O)c1.c1(cccc(C(=O)Nc2cccnc2)n1)C(=O)Nc3cccnc3>>c1(C(=O)[O-])cc(C)cc(C([O-])=O)c1.c2(cccc(C(=O)Nc3cccnc3)n2)C(=O)Nc4cccnc4.O.[Zn+2],Ignored this reaction
19,O([H])[H].[N+]([O-])(=O)[O-].[Zn+2].c1(C(=O)O)cc(O)cc(C(=O)O)c1.c1(cccc(C(=O)Nc2cccnc2)n1)C(=O)Nc3cccnc3>>c1(C(=O)[O-])cc(O)cc(C([O-])=O)c1.c2(cccc(C(=O)Nc3cccnc3)n2)C(=O)Nc4cccnc4.O.[Zn+2],Ignored this reaction
20,O([H])[H].[N+]([O-])(=O)[O-].[Zn+2].c1(C(=O)O)ccc(Oc2ccc(C(=O)O)cc2)cc1.c1(cccc(C(=O)Nc2cccnc2)n1)C(=O)Nc3cccnc3>>c1(C([O-])=O)ccc(Oc2ccc(C([O-])=O)cc2)cc1.c3(cccc(C(=O)Nc4cccnc4)n3)C(=O)Nc5cccnc5.O.[Zn+2],Ignored this reaction
21,O([H])[H].[N+]([O-])(=O)[O-].[Zn+2].c1(C(=O)O)cc(C)cc(C(=O)O)c1.c1(cncc(C(=O)Nc2cccnc2)c1)C(=O)Nc3cccnc3>>c1(C(=O)[O-])cc(C)cc(C([O-])=O)c1.c2(cncc(C(=O)Nc3cccnc3)c2)C(=O)Nc4cccnc4.[Zn+2],Ignored this reaction
22,O([H])[H].[N+]([O-])(=O)[O-].[Zn+2].c1(cncc(C(=O)Nc2cccnc2)c1)C(=O)Nc3cccnc3.c1(C(=O)O)cc(O)cc(C(=O)O)c1>>c1(C(=O)[O-])cc(O)cc(C([O-])=O)c1.c2(cncc(C(=O)Nc3cccnc3)c2)C(=O)Nc4cccnc4.O.[Zn+2],Ignored this reaction
23,O([H])[H].[N+]([O-])(=O)[O-].[Zn+2].c1(cncc(C(=O)Nc2cccnc2)c1)C(=O)Nc3cccnc3.c1(C(=O)O)ccc(Oc2ccc(C(=O)O)cc2)cc1>>c1(C([O-])=O)ccc(Oc2ccc(C([O-])=O)cc2)cc1.c3(cncc(C(=O)Nc4cccnc4)c3)C(=O)Nc5cccnc5.[Zn+2],Ignored this reaction
