,error_ractions,error_info
0,O#[C].C(C)#N.[I-].[W+2].c1(ccccc1)C#CC#Cc2ccccc2>>[W]12(I)(C#O)(N#CC)(C(C#Cc3ccccc3)#C1c4ccccc4)[I][W]5(I)(C#O)(N#CC)(C(C#Cc6ccccc6)#C5c7ccccc7)[I]2,Ignored this reaction
1,O#[C].C(C)#N.[I-].[W+2].c1(ccccc1)C#CC#Cc2ccccc2>>[W]12(I)(I)(C#O)(N#CC)(C(C#Cc3ccccc3)#C1c4ccccc4)C(C#Cc5ccccc5)#C2c6ccccc6,Ignored this reaction
2,O#[C].C(C)#N.[I-].[W+2].[W]12(I)(I)(C#O)(N#CC)(C(C#Cc3ccccc3)#C1c4ccccc4)C(C#Cc5ccccc5)#C2c6ccccc6>>[W]12(I)(I)(C#O)(N#CC)(C(C(#C3c4ccccc4)[W]35(I)(I)(C#O)(N#CC)C6#C5c7ccccc7)#C1c8ccccc8)C6#C2c9ccccc9,Ignored this reaction
3,[Mn+2]1234(C5([H])=C16[H])([C@@-]57[H])(C6([H])=C27[H])(C8([H])=C39[H])([C@@-]8%10[H])C9([H])=C4%10[H].c12c(cccc1)cccc2.C=C.[K]>>N1(=CC=CC=C1)[K][n+]2ccccc2.[Mn-]34(CCCC3)(CCCC4)N5=CC=CC=C5,Ignored this reaction
4,[La].[Mg]>>[La].[La].[Mg].[Mg].[Mg].[Mg].[Mg].[Mg],Ignored this reaction
5,[Mn].[TeH2].[Rb].[Rb].S.S>>[Mn+2].[Rb+].[Te](=S)([S-])[S-],Ignored this reaction
6,[Mg].[Al].C(CC)CO>>[Al+3].C(CC)C[O-].[Mg+2],Ignored this reaction
7,[Nd].C(C)(C)(C)c1[nH]nc(C(C)(C)C)c1>>[Nd]123(O4CCCC4)(O5CCCC5)(N(=C([C@](C)(C)C)C=C6[C@@](C)(C)C)N16)(N7N2=C(C=C7[C@@](C)(C)C)[C@](C)(C)C)N(=C([C@](C)(C)C)C=C8[C@@](C)(C)C)N38,"element: bad valence on N having 4 drawn bonds, charge 0, and 0 radical electrons"
8,[Sm].[Ni]>>[Ni].[Sm],Ignored this reaction
9,[N@@+](CCCC)(CCCC)(CCCC)CCCC.[Au].Br.Br.[Fe-](C#O)(C#O)(C#O)([Si](OC)(OC)OC)[P](CP(c1ccccc1)c2ccccc2)(c3ccccc3)c4ccccc4.[K+]>>[Fe]1(C#O)(C#O)(C#O)([Si@@](OC)(OC)OC)[P](c2ccccc2)(c3ccccc3)C[P](c4ccccc4)(c5ccccc5)[Au]([Fe](C#O)(C#O)(C#O)([Si@@](OC)(OC)OC)[P](c6ccccc6)(c7ccccc7)C[P]8(c9ccccc9)c%10ccccc%10)[Au]18,Ignored this reaction
