,error_ractions,error_info
0,c12c(cccc1)NC(=O)C2=O.C1(C)(C)CC(=O)CC(=O)C1.C1(C)(C)CC(=O)CC(=O)C1>>C12(C(=O)Nc(cccc3)c13)C4=C(CC(C)(C)CC4=O)OC(CC(C)(C)CC5=O)=C25,Ignored this reaction
1,C1(=O)CCCCC1.c1(C=O)ccc(F)cc1.c1(C=O)ccc(F)cc1>>C(=O)(\C(\CC1)=C\c2ccc(F)cc2)\C(\C1)=C\c3ccc(F)cc3,Ignored this reaction
2,C1(=O)CCCCC1.c1(OC)ccc(C=O)cc1.c1(OC)ccc(C=O)cc1>>C(=O)(\C(\CC1)=C\c2ccc(OC)cc2)\C(\C1)=C\c3ccc(OC)cc3,Ignored this reaction
3,C1(=O)CCCCC1.c1(OC)ccc(C=O)cc1.c1(OC)ccc(C=O)cc1>>C1(=O)C(CCCC1=Cc2ccc(OC)cc2)=Cc3ccc(OC)cc3,Ignored this reaction
4,C1(=O)CCCCC1.c1(ccc(C=O)cc1)N(C)C.c1(ccc(C=O)cc1)N(C)C>>C1(=O)C(CCCC1=Cc2ccc(N(C)C)cc2)=Cc3ccc(N(C)C)cc3,Ignored this reaction
5,c12c(cccc1)NC(=O)C2=O.C1C(=O)CCCC1=O.C1C(=O)CCCC1=O>>C12(C(=O)Nc(cccc3)c13)C4=C(CCCC4=O)OC(CCCC5=O)=C25,Ignored this reaction
6,C(C)O.C(=O)(O)C(=O)O.C(=O)(O)C(=O)O>>C(=O)(OCC)C(=O)OCC,Ignored this reaction
7,C1(=O)CCCCC1.c1(C=O)ccc(C)cc1.c1(C=O)ccc(C)cc1>>C1(=O)C(CCCC1=Cc2ccc(C)cc2)=Cc3ccc(C)cc3,Ignored this reaction
8,C1(=O)CCCCC1.c1(C=O)ccccc1Cl.c1(C=O)ccccc1Cl>>C1(=O)C(CCCC1=Cc2ccccc2Cl)=Cc3ccccc3Cl,Ignored this reaction
9,C1(=O)CCCCC1.c1(C([H])=O)ccccc1.c1(C([H])=O)ccccc1>>C1(CCCC(C(O)c2ccccc2)C1=O)C(O)c3ccccc3,Ignored this reaction
10,C1(=O)CCCCC1.c1(C=O)ccc(O)cc1.c1(C=O)ccc(O)cc1>>C1(=O)C(CCCC1=Cc2ccc(O)cc2)=Cc3ccc(O)cc3,Ignored this reaction
11,C1(=O)CCCCC1.c1(C=O)ccc(O)cc1.c1(C=O)ccc(O)cc1>>C(=O)(\C(\CC1)=C\c2ccc(O)cc2)\C(\C1)=C\c3ccc(O)cc3,Ignored this reaction
